Comment,Designator,Footprint,LCSC,Quantity
100nF,"C1,C4,C5",C_0402_1005Metric,C437421,3
10k,R3,R_0402_1005Metric,C71617,1
10nF,C6,C_0402_1005Metric,C85973,1
12k,R2,R_0402_1005Metric,C481938,1
18pF,"C7,C8",C_0402_1005Metric,C161176,2
1uF,"C2,C3",C_0603_1608Metric,C77386,2
24Mhz,X1,CRYSTAL-SMD_4P-L2.0-W1.6-BL,C255882,1
2k2,R1,R_0402_1005Metric,C82680,1
47k,"R4,R5,R6",R_0402_1005Metric,C482184,3
BUS,FPC2,FPC-SMD_50P-P0.50_FH34SRJ-50S-0.5SH,C3169104,1
SM02B-SRSS-TB,CN1,CONN-SMD_2P-P1.00_SM02B-SRSS-TB-LF-SN,C160402,1
SM04B-SRSS-TB,"CN2,CN3",CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,C160404,2
USB2422/MJ,U1,QFN-24_L4.0-W4.0-P0.50-BL-EP2.6,C633330,1
~,"FPC1,FPC3",FFC-SMD_22P-P0.50_HRS_FH34SRJ-22S-0.5SH,C2889325,2
